department,aisle,count,reorder_sum,reorder_rate,share_pct,aisle_id
alcohol,beers coolers,48657,27506,0.5653040672462338,0.1500162373453764,27
alcohol,red wines,35181,19305,0.5487336914811972,0.108467871961849,28
alcohol,specialty wines champagnes,11198,5446,0.4863368458653331,0.034524977409078346,134
alcohol,spirits,28102,16084,0.5723436054373354,0.08664233927039824,124
alcohol,white wines,30558,19254,0.630080502650697,0.09421452577840829,62
babies,baby accessories,8160,4496,0.5509803921568628,0.02515840468459361,82
babies,baby bath body care,8581,2538,0.29576972380841393,0.026456405710600216,102
babies,baby food formula,382456,225748,0.5902587487188069,1.17916456152585,92
babies,diapers wipes,24605,12587,0.511562690510059,0.07586060628240512,56
bakery,bakery desserts,34871,17405,0.4991253477101316,0.10751209923486077,8
bakery,bread,584834,391937,0.6701679450921116,1.8031238290820613,112
bakery,breakfast bakery,250770,163307,0.651222235514615,0.7731584733769045,93
bakery,buns rolls,113015,59993,0.5308410388001593,0.34844082174379254,43
bakery,tortillas flat bread,193297,106546,0.5512035882605524,0.5959612929311141,128
beverages,cocoa drink mixes,21214,8598,0.4052983878570755,0.0654056859042854,90
beverages,coffee,207075,128330,0.6197271519980684,0.6384407659389978,26
beverages,energy sports drinks,103615,67309,0.6496067171741543,0.31945932615124595,64
beverages,juice nectars,333933,197733,0.5921337513812651,1.0295614646495586,98
beverages,refrigerated,575881,381983,0.6633019668994116,1.7755204960990751,31
beverages,soft drinks,357537,228406,0.6388317852418072,1.1023358499651406,77
beverages,tea,249341,131556,0.5276147925932759,0.7687526694192716,94
beverages,water seltzer sparkling water,841533,613977,0.7295934918773239,2.5945622266470734,115
breakfast,breakfast bars pastries,71860,42103,0.5859031450041747,0.2215542843915315,48
breakfast,cereal,377586,215822,0.5715836921919775,1.1641496802986475,121
breakfast,granola,101959,61085,0.5991133690993439,0.3143536499064314,57
breakfast,hot cereal pancake mixes,158164,79003,0.4995005184492046,0.48764141158505686,130
bulk,bulk dried fruits vegetables,17368,10775,0.6203938277291571,0.05354793781397327,18
bulk,bulk grains rice dried goods,17205,9175,0.5332752106945655,0.053045386347847195,68
canned goods,canned fruit applesauce,87197,49093,0.5630124889617762,0.2688403692748173,99
canned goods,canned jarred vegetables,297037,125096,0.4211461871753351,0.9158060113109844,81
canned goods,canned meals beans,270314,136348,0.5044059871112854,0.8334153191067694,59
canned goods,canned meat seafood,67046,32014,0.4774930644632044,0.20671205888275287,95
canned goods,soup broth bouillon,346464,145984,0.4213540223515286,1.0681962647846865,69
dairy eggs,butter,254317,146496,0.5760369932013982,0.7840943632563473,36
dairy eggs,cream,318002,217846,0.6850460059999622,0.9804439958958503,53
dairy eggs,eggs,452134,318920,0.7053661082776345,1.3939914391745158,86
dairy eggs,milk,891015,696264,0.7814279220888537,2.7471220527013696,84
dairy eggs,other creams cheeses,308007,174047,0.565074819728123,0.9496280332950521,108
dairy eggs,packaged cheese,979763,573383,0.585226223076397,3.0207443687489572,21
dairy eggs,refrigerated pudding desserts,37691,20859,0.5534212411451009,0.11620654791262475,71
dairy eggs,soy lactosefree,638253,442023,0.6925513863624613,1.9678219687691088,91
dairy eggs,specialty cheeses,82491,40365,0.48932610830272394,0.25433112265157004,2
dairy eggs,yogurt,1452343,997018,0.6864893485905189,4.477773643975091,120
deli,fresh dips tapenades,355685,216232,0.607931175056581,1.096625878705843,67
deli,lunch meat,395130,239653,0.6065168425581454,1.2182402503705236,96
deli,prepared meals,99032,61376,0.619759269730996,0.30532930548096504,13
deli,prepared soups salads,71928,42912,0.5965965965965966,0.2217639377639031,1
deli,tofu meat alternatives,129474,78691,0.6077745338832506,0.39918618727120997,14
dry goods pasta,dry pasta,266637,120803,0.4530616531089084,0.8220786213095573,131
dry goods pasta,fresh pasta,36727,18513,0.5040705747814959,0.11323440304547422,12
dry goods pasta,grains rice dried goods,144189,57425,0.39826200334283474,0.44455456042486136,63
dry goods pasta,instant foods,200687,98243,0.48953345259035214,0.6187456814873821,4
dry goods pasta,pasta sauce,218387,104597,0.47895250175147785,0.6733172210605816,9
frozen,frozen appetizers sides,194582,102264,0.5255573485728382,0.5999231250413718,129
frozen,frozen breads doughs,40208,21712,0.5399920413847991,0.12396680582820344,58
frozen,frozen breakfast,232763,145761,0.6262206622186516,0.7176404104902039,52
frozen,frozen dessert,19319,8129,0.42077747295408663,0.05956313971834118,119
frozen,frozen juice,4853,2188,0.45085514114980424,0.014962467884109413,113
frozen,frozen meals,390299,217262,0.5566552822323398,1.2033456115186523,38
frozen,frozen meat seafood,71742,37983,0.5294388224471022,0.22119047412771015,34
frozen,frozen pizza,162218,94283,0.5812117027703461,0.5001404523437999,79
frozen,frozen produce,522654,283033,0.5415303432098482,1.6114143188751948,116
frozen,frozen vegan vegetarian,99369,53875,0.5421710996387203,0.3063683229293361,42
frozen,ice cream ice,498425,245400,0.4923509053518584,1.5367129724164916,37
household,air fresheners candles,19851,6135,0.309052440683089,0.06120336904336615,101
household,cleaning products,118477,34185,0.28853701562328554,0.3652809205657595,114
