department,share
alcohol,0.004738659517651103
babies,0.013066399782034489
bakery,0.036281965163687334
beverages,0.08294038484774649
breakfast,0.02187699026181667
bulk,0.0010659332416182046
canned goods,0.032929700233600104
dairy eggs,0.16692157536380486
deli,0.03241145559592445
dry goods pasta,0.026719304873278563
frozen,0.06895228101173415
household,0.02277409087591915
international,0.008301441098702064
meat,0.020298084548210395
missing,0.0021318356518581195
other,0.0011189015495203269
pantry,0.05782662399891671
personal care,0.013785418355134253
pets,0.0030129656120064046
produce,0.2922596067414535
seafood,0.0015592352942572951
snacks,0.08902714638112535
