aisle_a,department_a,aisle_b,department_b,co_orders,share_of_orders,lift
red wines,alcohol,white wines,alcohol,7738,0.24069372547726597,38.90282348385181
white wines,alcohol,specialty wines champagnes,alcohol,2116,0.06581906475961422,27.234216818434756
red wines,alcohol,specialty wines champagnes,alcohol,2065,0.06423268843506774,26.538956035984995
beers coolers,alcohol,red wines,alcohol,5317,0.16538750818850131,22.704928725176945
spirits,alcohol,specialty wines champagnes,alcohol,1480,0.04603601882997592,21.002562367125954
beers coolers,alcohol,white wines,alcohol,4569,0.14212065542848648,19.53934894950501
white wines,alcohol,spirits,alcohol,3418,0.10631831916274168,18.9745394826991
beers coolers,alcohol,spirits,alcohol,3920,0.12193323906317946,18.483590499119625
beers coolers,alcohol,specialty wines champagnes,alcohol,1662,0.05169720492933782,18.169012851149564
red wines,alcohol,spirits,alcohol,3135,0.0975154858324152,17.37805961549527
facial care,personal care,body lotions soap,personal care,1862,0.057918288555010244,15.160114464587327
shave needs,personal care,body lotions soap,personal care,1355,0.04214784156393065,12.871285223347066
deodorants,personal care,body lotions soap,personal care,1902,0.059162505280144724,12.376603664006728
hair care,personal care,deodorants,personal care,1216,0.03782418844408832,11.073038670525236
soap,personal care,skin care,personal care,1643,0.05110620198489894,10.489615324721312
hair care,personal care,body lotions soap,personal care,2893,0.08998797464535158,10.311293296824102
cold flu allergy,personal care,muscles joints pain relief,personal care,1187,0.03692213131836582,10.202365601726902
oral hygiene,personal care,deodorants,personal care,2279,0.07088924791453724,9.460821282222321
oral hygiene,personal care,shave needs,personal care,1509,0.04693807595569842,9.14461447847961
oral hygiene,personal care,eye ear care,personal care,1247,0.03878845640606755,8.352112033674887
oral hygiene,personal care,facial care,personal care,1514,0.04709360304634023,7.8639767565981415
air fresheners candles,household,body lotions soap,personal care,1395,0.04339205828906514,7.676441342122241
baking supplies decor,pantry,doughs gelatins bake mixes,pantry,4286,0.13331782209815998,7.437545830216955
oral hygiene,personal care,body lotions soap,personal care,4367,0.13583736096655732,7.095764122361826
air fresheners candles,household,cleaning products,household,3189,0.09919517841134676,7.046218022038694
oral hygiene,personal care,hair care,personal care,2980,0.09269414602251907,6.776017405768383
feminine care,personal care,body lotions soap,personal care,1234,0.038384085970398836,6.704861258618698
laundry,household,cleaning products,household,13928,0.43323626369182744,6.322606156523401
tofu meat alternatives,deli,frozen vegan vegetarian,frozen,16122,0.5014815510654539,6.238860350555561
cold flu allergy,personal care,vitamins supplements,personal care,1607,0.04998640693227791,6.137918564930984
trash bags liners,household,cleaning products,household,4978,0.15484277144298658,5.903032265475895
trash bags liners,household,food storage,household,3103,0.09652011245230761,5.815268533057912
cleaning products,household,body lotions soap,personal care,5624,0.1749368715539085,5.751532491929567
vitamins supplements,personal care,digestion,personal care,1799,0.05595864721292343,5.732001028802292
hair care,personal care,soap,personal care,2418,0.07521290103437957,5.58507444245691
dish detergents,household,laundry,household,12096,0.37625113768066804,5.520356499792608
food storage,household,more household,household,1539,0.04787123849954929,5.4156233298892795
trash bags liners,household,laundry,household,4119,0.1281232172707235,5.399646558562492
oral hygiene,personal care,feminine care,personal care,1539,0.04787123849954929,5.33466064771266
dish detergents,household,cleaning products,household,12511,0.3891598862039383,5.164925889048612
shave needs,personal care,cleaning products,household,1350,0.04199231447328884,5.149110561151935
diapers wipes,babies,body lotions soap,personal care,1252,0.038943983496709356,5.129796317751873
facial care,personal care,cleaning products,household,1568,0.04877329562527179,5.1260718785299995
laundry,household,body lotions soap,personal care,4473,0.13913453528816372,5.056970735688892
baby accessories,babies,baby food formula,babies,1834,0.05704733684741611,4.918816911157404
trash bags liners,household,body lotions soap,personal care,1664,0.05175941576559455,4.914255780605949
dog food care,pets,cat food care,pets,1371,0.042645528253984454,4.893660353793746
eye ear care,personal care,cleaning products,household,1158,0.03602007419264332,4.8815832982263645
laundry,household,air fresheners candles,household,1998,0.062148625420467486,4.880342685896111
food storage,household,baking supplies decor,pantry,1733,0.05390568961645153,4.805484334560833
shave needs,personal care,laundry,household,1127,0.035055806230664094,4.751991348265589
trash bags liners,household,plates bowls cups flatware,household,1615,0.0502352502773048,4.734232926869389
paper goods,household,body lotions soap,personal care,10500,0.3266068903478021,4.709693356102063
facial care,personal care,laundry,household,1300,0.040437043566870744,4.698240694578795
cleaning products,household,first aid,personal care,1236,0.03844629680665557,4.692621852706312
trash bags liners,household,dish detergents,household,3924,0.1220576607356929,4.678075628037594
paper goods,household,trash bags liners,household,8952,0.2784557030850976,4.655918881927385
ice cream ice,frozen,ice cream toppings,snacks,5055,0.15723788863887045,4.544503967519977
oral hygiene,personal care,air fresheners candles,household,1266,0.03937945935050643,4.444398333216783
